SRR3724066 SRR3724068 SRR3724070 SRR3724072 SRR3724074 SRR3724076 SRR3724078 SRR3724079 SRR3724081 SRR3724084 SRR3724086 SRR3724088 SRR3724091 SRR3724093 SRR3724095 SRR3724097 SRR3724099 SRR3724101 SRR3724102 SRR3724104 SRR3724106 SRR3724108 SRR3724110 SRR3724113 SRR3724125 SRR3724127 SRR3724129 SRR3724131 SRR3724133 SRR3724134 SRR3724136 SRR3724138 SRR3724140 SRR3724142 SRR3724145 SRR3724147 SRR3724149 SRR3724151 SRR3724153 SRR3724155 SRR3724156 SRR3724158 SRR3724160 SRR3724162 SRR3724164 SRR3724167 SRR3724169 SRR3724171
ZT3D7_G89 0 6 2 6 3 567 0 493 593 5 1 3 5 10 43 122 104 0 465 366 648 495 0 0 2 1 12 9 1 17 126 59 360 425 518 5 3 1 49 2 17 14 45 25 70 407 438 488
ZT3D7_G90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ZT3D7_G91 2 0 1 0 0 3 0 6 5 1 0 0 1 0 0 0 0 0 4 1 3 4 0 1 0 0 0 0 0 6 1 2 1 12 8 0 1 0 2 0 0 0 0 0 0 3 9 3
ZT3D7_G92 0 1 1 0 1 0 0 2 7 6 0 1 5 5 13 79 67 0 183 22 60 41 2 2 1 0 2 1 0 20 77 39 26 44 60 0 0 3 10 0 5 5 30 35 19 34 18 43
ZT3D7_G93 0 1 1 2 0 36 0 30 37 2 5 1 2 1 4 66 44 0 117 12 48 26 4 1 0 2 4 3 0 11 78 30 61 81 124 2 0 4 16 0 1 3 42 17 17 53 52 83
ZT3D7_G94 1 1 0 2 3 41 0 50 47 2 0 0 0 2 5 65 26 1 81 31 61 36 0 3 2 1 0 2 1 1 42 37 52 33 63 1 2 0 16 1 6 10 19 25 32 90 46 87
ZT3D7_G95 0 0 1 2 0 99 0 79 87 4 0 2 1 2 1 61 25 0 134 95 173 122 0 1 3 1 0 1 2 0 64 27 206 193 249 1 0 0 21 0 3 8 18 13 31 178 183 212
ZT3D7_G96 0 10 18 28 7 544 3 523 580 12 4 9 8 25 56 305 174 4 490 273 437 361 10 11 3 8 27 17 10 39 347 155 498 475 587 3 14 9 132 3 46 51 181 168 200 704 508 668
ZT3D7_G97 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 1 6 1 2 4 0 0 0 0 0 0 0 2 7 0 0 1 2 0 0 0 1 0 0 0 0 0 0 7 3 1
ZT3D7_G98 0 1 0 0 0 15 0 17 14 0 0 0 2 0 5 0 0 0 2 1 4 6 1 0 0 0 0 1 0 1 9 0 13 26 36 0 0 0 0 0 0 0 0 0 4 7 4 4
ZT3D7_G99 0 0 0 0 0 15 0 18 15 0 0 0 0 0 0 10 2 0 6 13 18 14 0 1 0 0 0 0 0 0 4 0 10 16 10 0 0 0 3 0 0 0 2 1 0 31 14 10
ZT3D7_G100 0 0 0 2 1 102 0 92 128 0 1 1 0 0 4 30 11 0 43 48 64 59 0 0 1 1 2 0 0 2 30 14 67 79 70 0 1 11 6 0 1 0 14 9 10 94 76 147
ZT3D7_G101 0 2 1 3 0 43 0 32 79 1 0 0 0 0 3 21 10 0 30 29 36 34 0 1 0 6 0 0 3 3 23 18 51 56 43 0 0 2 4 0 1 3 5 5 1 45 23 83
ZT3D7_G102 0 0 1 0 0 15 4 2 22 2 4 0 1 0 1 114 33 0 250 28 55 35 2 1 0 0 0 2 0 7 23 15 16 20 12 2 3 5 4 0 5 9 28 21 18 43 30 58
ZT3D7_G103 2 7 5 11 4 349 2 378 519 7 10 9 15 15 28 659 288 1 888 483 565 579 6 10 6 7 6 8 3 25 354 185 496 672 683 9 7 15 70 0 17 30 193 125 110 583 458 542
ZT3D7_G104 2 5 1 3 2 166 0 176 206 8 4 0 4 6 17 90 32 0 185 193 284 331 0 4 1 1 2 0 1 1 101 36 266 176 354 2 4 3 28 0 3 14 20 31 20 308 183 184
ZT3D7_G105 0 0 0 0 1 33 0 55 58 3 1 2 4 4 4 127 73 0 167 194 191 202 0 0 0 2 0 2 1 3 25 8 45 36 77 2 0 5 39 0 2 10 13 15 22 387 209 244
ZT3D7_G106 0 7 1 8 1 638 2 314 560 12 10 6 5 8 27 157 79 2 684 553 936 723 5 2 2 0 11 5 0 12 110 43 258 331 359 4 11 12 59 0 7 34 45 59 90 555 384 534
ZT3D7_G107 0 0 1 2 0 9 0 0 9 11 13 17 10 14 44 283 105 0 631 231 396 308 0 2 2 3 16 6 0 23 106 20 205 179 231 9 10 5 91 0 31 47 119 101 134 494 280 440
ZT3D7_G108 0 4 1 3 2 152 0 205 159 7 0 7 7 2 17 26 12 0 39 86 179 142 0 1 2 0 5 2 1 3 61 31 174 194 289 4 12 13 40 0 13 23 36 50 39 309 199 404
ZT3D7_G109 0 0 2 3 3 27 0 21 22 18 6 9 26 6 21 91 33 0 159 131 197 151 0 0 1 2 9 4 0 17 70 48 9 30 15 0 0 0 16 0 2 5 28 41 17 31 15 13
ZT3D7_G110 2 15 5 10 8 830 2 729 913 13 13 13 23 24 45 391 205 1 882 789 1352 1034 4 7 5 6 14 13 3 37 388 118 848 832 1257 15 16 7 111 2 37 67 201 196 165 1113 831 993
ZT3D7_G111 101 186 91 193 61 63276 65 52484 65244 193 326 324 351 253 790 9512 2830 20 33005 60397 76471 73929 84 286 124 165 383 210 84 933 10994 4158 54066 58127 71959 224 291 282 5854 47 488 770 4606 3071 3923 79252 53198 50067
ZT3D7_G112 64 105 57 79 33 15178 56 10562 18181 122 168 108 202 207 422 6152 3019 14 11136 9975 17795 13199 42 101 64 107 218 146 65 527 5290 3231 15248 12404 18230 102 110 134 1279 19 199 402 2052 1841 1815 13147 11323 7967
ZT3D7_G113 0 50 27 56 28 39 6 11 32 1 3 1 1 5 31 44 15 1 128 42 109 76 9 0 2 13 25 21 22 44 64 60 34 30 60 16 17 6 452 1 164 217 848 918 679 66 83 60
