"","3D1-1-7d_R1","3D1-8-12d_R1","3D1-7-14d_R1","3D1-9-14d_R1","3D1-10-14d_R1","3D1-1-28d_R1","3D1-2-7d_R1","3D1-4-28d_R1","3D1-5-28d_R1","3D7-2-7d_R1","3D7-8-7d_R1","3D7-10-7d_R1","3D7-2-12d_R1","3D7-3-12d_R1","3D7-6-12d_R1","3D7-4-14d_R1","3D7-5-14d_R1","3D1-3-7d_R1","3D7-10-14d_R1","3D7-1-28d_R1","3D7-5-28d_R1","3D7-10-28d_R1","3D1-2-12d_R1","3D1-5-12d_R1"
"ZT3D7_G3563",0,2,7,4,2,209,1,138,209,7,12,6,5,4,8,177,127,0,341,230,340,259,1,0
"ZT3D7_G3564",0,1,0,4,1,367,0,228,327,4,4,9,4,0,9,114,44,0,227,242,327,268,3,2
"ZT3D7_G3565",0,4,4,12,5,329,1,267,343,9,10,5,11,15,33,763,276,2,1088,247,412,370,4,4
"ZT3D7_G3566",1,4,1,3,0,140,0,106,185,0,0,0,1,3,4,57,33,1,88,56,122,96,3,0
"ZT3D7_G3567",0,0,1,0,0,42,0,28,90,0,0,0,1,1,9,43,26,1,86,23,82,63,1,0
"ZT3D7_G3568",0,1,1,0,0,16,1,6,6,1,2,0,1,2,4,86,30,0,122,15,45,23,0,0
"ZT3D7_G3569",0,3,1,0,0,487,0,207,111,0,0,0,1,3,2,88,43,0,333,391,365,625,0,0
"ZT3D7_G3570",0,0,0,0,0,21,0,11,5,1,0,0,0,0,0,25,8,0,20,7,21,8,0,0
"ZT3D7_G3571",0,0,0,0,0,42,0,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G3572",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ZT3D7_G3573",2,13,26,15,26,4,2,15,13,14,9,3,15,2,43,14,8,3,18,4,12,3,18,3
"ZT3D7_G3574",4,5,3,3,4,159,1,139,210,15,16,10,21,9,41,234,150,1,250,198,336,298,4,4
"ZT3D7_G3575",0,4,7,5,4,583,0,443,519,15,14,17,31,6,31,376,143,4,555,517,828,818,5,1
"ZT3D7_G3576",1,10,12,15,9,1061,2,881,1357,7,13,6,12,11,27,769,217,3,1603,906,1411,1206,8,0
"ZT3D7_G3577",0,1,3,2,1,177,2,178,198,2,1,0,0,1,6,24,4,0,51,121,226,157,3,1
"ZT3D7_G3578",1,2,2,5,2,72,0,39,71,14,29,12,6,2,5,58,46,0,88,75,132,66,1,0
"ZT3D7_G3579",4,100,54,68,30,1134,10,895,1110,55,44,49,70,55,202,57,140,12,115,215,490,461,57,8
"ZT3D7_G3580",0,0,4,2,0,27,2,64,18,6,0,3,2,3,3,73,33,1,36,38,56,47,1,0
"ZT3D7_G3581",1,4,4,2,1,516,1,528,562,15,14,16,25,7,16,200,90,3,394,350,527,509,3,1
"ZT3D7_G3582",6,11,5,20,6,1352,8,1193,1509,66,46,42,80,20,84,575,213,2,872,1534,2161,2389,6,4
"ZT3D7_G3583",1,3,3,2,2,295,0,181,265,2,3,4,2,5,24,163,46,1,306,205,276,259,1,4
"ZT3D7_G3584",1,3,3,6,0,803,0,598,829,6,3,10,16,5,26,142,60,0,264,325,514,461,1,2
"ZT3D7_G3585",0,20,8,16,8,4362,7,4267,4575,17,14,11,18,20,50,1806,468,2,3242,2653,3572,3179,10,6
"ZT3D7_G3586",0,0,0,0,0,2,0,1,8,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0
"ZT3D7_G3587",1,7,1,5,2,72,0,51,61,1,5,1,1,8,12,87,48,0,159,47,110,83,3,0
"ZT3D7_G3588",0,7,6,19,10,1188,1,987,1134,9,5,14,11,9,51,179,116,1,453,605,1020,777,5,0
"ZT3D7_G3589",0,10,6,19,2,37,1,36,53,3,5,0,4,4,10,287,143,0,417,51,45,37,1,0
"ZT3D7_G3590",0,0,0,1,0,6,0,4,5,0,1,1,0,2,3,6,3,0,5,6,8,8,0,0
"ZT3D7_G3591",3,4,6,5,0,236,0,272,284,9,11,7,13,13,22,209,97,0,382,286,524,348,4,1
"ZT3D7_G3592",0,1,2,3,1,319,0,325,326,3,0,1,4,2,16,53,23,0,131,202,387,268,1,0
"ZT3D7_G3593",3,7,9,18,1,101,0,90,113,4,7,2,4,8,38,98,57,0,198,77,143,70,3,3
"ZT3D7_G3594",40,44,55,10,17,84651,44,90122,90742,819,233,617,1081,126,1022,5719,2094,23,30274,117964,110672,128040,116,158
"ZT3D7_G3595",0,3,4,6,3,1761,0,1506,1403,11,3,4,3,8,19,207,41,1,534,2304,2372,2387,1,0
"ZT3D7_G3596",0,0,3,1,0,152,0,111,148,0,3,2,4,1,5,43,14,1,107,229,294,250,1,0
"ZT3D7_G3597",4,2,6,11,4,1396,1,1132,1492,24,13,23,29,6,23,577,149,0,962,1131,1297,1276,2,7
"ZT3D7_G3598",0,11,4,8,4,731,2,575,664,6,4,4,22,5,26,132,65,2,222,537,657,732,5,8
"ZT3D7_G3599",2,3,2,6,2,258,1,199,224,8,7,2,7,3,19,159,49,0,290,283,414,322,2,0
"ZT3D7_G3600",0,1,4,4,3,447,1,446,489,25,9,9,17,7,26,128,72,1,200,627,605,706,4,5
"ZT3D7_G3601",0,2,1,0,1,132,1,137,95,8,5,4,2,4,15,185,49,0,282,230,285,257,2,1
"ZT3D7_G3602",0,5,4,13,3,414,0,209,232,16,17,17,24,13,78,118,78,0,388,301,912,473,2,2
"ZT3D7_G3603",6,4,7,20,11,2097,6,2223,2355,11,16,13,13,17,44,1283,277,2,2011,1168,1748,1547,5,8
"ZT3D7_G3604",10,139,64,128,78,2072,12,1910,2335,132,80,60,165,103,479,378,342,5,926,1905,3673,2751,52,34
"ZT3D7_G3605",9,475,214,432,200,2,27,2,2,441,172,79,398,214,921,158,347,24,143,21,43,22,210,46
"ZT3D7_G3606",1,10,8,11,5,17,0,35,36,4,4,4,20,12,31,31,82,2,66,16,34,32,5,2
"ZT3D7_G3607",0,4,2,6,2,31,3,91,95,5,4,0,0,4,5,87,15,0,97,87,154,87,0,0
"ZT3D7_G3608",0,0,0,1,0,37,1,19,42,6,6,3,7,1,7,15,12,0,35,38,45,43,3,0
"ZT3D7_G3609",1,2,1,3,0,60,2,38,63,9,6,2,6,5,15,137,26,0,466,134,528,284,0,0
"ZT3D7_G3610",19,24,25,15,17,5124,11,4320,5792,51,31,27,43,32,93,1241,459,6,3238,3565,6037,4613,17,7
"ZT3D7_G3611",0,2,6,7,2,600,0,756,748,1,7,2,0,4,19,64,23,0,320,544,861,628,1,0
"ZT3D7_G3612",10,4,5,12,5,1358,7,1563,1164,27,16,23,24,10,41,285,88,2,270,1322,1119,1551,13,5
