"","3D7_vitro_MM_rep3","3D1_vitro_YSB_rep3","3D1_vitro_MM_rep2","3D7_vitro_YSB_rep1","3D7_vitro_YSB_rep3","3D7_vitro_YSB_rep2","3D7_vitro_MM_rep1","3D7_vitro_MM_rep2","3D1_vitro_MM_rep1","3D1_vitro_MM_rep3","3D1_vitro_YSB_rep1","3D1_vitro_YSB_rep2"
"ZT3D7_G4251",25,46,132,27,31,29,20,29,146,104,101,48
"ZT3D7_G4252",2,67,129,7,6,6,0,2,148,115,87,53
"ZT3D7_G4253",62,82,227,118,120,139,98,95,214,190,134,77
"ZT3D7_G4254",584,1392,1043,1307,1316,1221,707,779,1100,1028,2126,1138
"ZT3D7_G4255",437,468,596,576,660,567,461,406,580,552,733,430
"ZT3D7_G4256",414,491,366,596,658,609,392,391,421,354,841,456
"ZT3D7_G4257",182,268,216,262,289,251,125,218,297,188,354,231
"ZT3D7_G4258",371,504,655,557,748,688,437,379,750,581,875,538
"ZT3D7_G4259",334,808,418,700,644,443,345,384,666,494,940,587
"ZT3D7_G4260",260,461,542,797,727,688,208,321,525,459,654,377
"ZT3D7_G4261",44,10,19,22,18,23,31,46,17,22,19,8
"ZT3D7_G4262",572,1585,3644,2084,2017,1719,602,508,2977,3306,2189,1316
